C288131,1,A',3523
C288131,2,A',3155
C288131,3,A',3137
C288131,4,A',3126
C288131,5,A',1531
C288131,6,A',1447
C288131,7,A',1395
C288131,8,A',1358
C288131,9,A',1254
C288131,10,A',1159
C288131,11,A',1121
C288131,12,A',1054
C288131,13,A',1009
C288131,14,A',924
C288131,15,A',908
C288131,16,A'',879
C288131,17,A'',833
C288131,18,A'',745
C288131,19,A'',674
C288131,20,A'',623
C288131,21,A'',516
C288142,1,A',3140
C288142,2,A',3128
C288142,3,A',3086
C288142,4,A',1653
C288142,5,A',&nbsp;
C288142,6,A',1432
C288142,7,A',1373
C288142,8,A',1217
C288142,9,A',1128
C288142,10,A',1089
C288142,11,A',1021
C288142,12,A',856
C288142,13,A',&nbsp;
C288142,14,A'',&nbsp;
C288142,15,A'',889
C288142,16,A'',764
C288142,17,A'',632
C288142,18,A'',595
C288324,1,A',3517
C288324,2,A',3143
C288324,3,A',3123
C288324,4,A',3110
C288324,5,A',1448
C288324,6,A',1404
C288324,7,A',1328
C288324,8,A',1265
C288324,9,A',1188
C288324,10,A',1098
C288324,11,A',1062
C288324,12,A',1013
C288324,13,A',988
C288324,14,A',923
C288324,15,A',898
C288324,16,A'',831
C288324,17,A'',758
C288324,18,A'',674
C288324,19,A'',663
C288324,20,A'',621
C288324,21,A'',539
C288426,1,A',3170
C288426,2,A',3144
C288426,3,A',3141
C288426,4,A',1537
C288426,5,A',1504
C288426,6,A',1324
C288426,7,A',1252
C288426,8,A',1139
C288426,9,A',1086
C288426,10,A',1078
C288426,11,A',1046
C288426,12,A',899
C288426,13,A',854
C288426,14,A'',907
C288426,15,A'',830
C288426,16,A'',750
C288426,17,A'',647
C288426,18,A'',607
C302012,1,A,3398
C302012,2,A,3329
C302012,3,A,1642
C302012,4,A,1275
C302012,5,A,1076
C302012,6,A,780
C302012,7,A,377
C302012,8,B,3350
C302012,9,B,3314
C302012,10,B,1628
C302012,11,B,1275
C302012,12,B,966
C353504,1,A1,1928
C353504,2,A1,965
C353504,3,A1,584
C353504,4,B1,774
C353504,5,B2,1249
C353504,6,B2,626
C353855,1,A1,2275
C353855,2,A1,1227
C353855,3,A1,802
C353855,4,A1,522
C353855,5,E,1214
C353855,6,E,618
C353855,7,E,463
C353855,8,E,196
C420122,1,A1,3014
C420122,2,A1,1457
C420122,5,A1,627
C420122,11,B1,824
C420122,12,B2,3013
C420122,14,B2,1051
C420462,1,A1,2974
C420462,2,A1,1412
C420462,3,A1,1278
C420462,4,A1,828
C420462,5,A1,606
C420462,6,A2,225
